,Date,Open*,High,Low,Close**,Volume,Market Cap
94,"Jun 03, 2019",6.87,6.88,6.15,6.18,15134687,97576210
95,"Jun 02, 2019",6.52,6.89,6.51,6.88,9528214,108606233
96,"Jun 01, 2019",6.75,6.77,6.46,6.51,11804392,102887995
97,"May 31, 2019",6.43,6.76,6.3,6.76,15045386,106700632
98,"May 30, 2019",6.7,7.0,6.32,6.43,19633658,101508223
99,"May 29, 2019",6.74,6.93,6.55,6.69,18443698,105718967
100,"May 28, 2019",7.16,7.16,6.52,6.74,18632718,106500536
101,"May 27, 2019",5.89,7.81,5.82,7.16,65835920,113063835
102,"May 26, 2019",5.21,6.44,5.21,5.88,25148803,92931311
103,"May 25, 2019",5.19,5.28,5.14,5.21,14059493,82261632
104,"May 24, 2019",5.29,5.33,5.15,5.19,12839951,81983597
105,"May 23, 2019",5.03,5.37,4.92,5.29,11243349,83488310
106,"May 22, 2019",4.99,5.3,4.93,5.04,9505926,79539291
107,"May 21, 2019",4.96,5.09,4.93,5.0,11209489,78899282
108,"May 20, 2019",5.03,5.03,4.73,4.96,13294102,78300711
109,"May 19, 2019",4.95,5.29,4.84,5.03,14039751,79468513
110,"May 18, 2019",4.91,5.07,4.85,4.94,12421248,78099998
111,"May 17, 2019",5.22,5.36,4.54,4.91,13786701,77483866
112,"May 16, 2019",5.04,5.68,4.83,5.22,12953942,82463489
113,"May 15, 2019",4.62,5.15,4.6,5.05,7919486,79799048
114,"May 14, 2019",4.7,4.9,4.53,4.62,7969915,73023821
115,"May 13, 2019",4.8,5.13,4.62,4.69,6718535,74102121
116,"May 12, 2019",4.92,5.01,4.57,4.8,6850567,75821913
117,"May 11, 2019",4.75,5.06,4.73,4.92,7765875,77642418
118,"May 10, 2019",4.49,4.83,4.42,4.76,6706305,75203074
119,"May 09, 2019",4.72,4.76,4.42,4.49,5554778,70888659
120,"May 08, 2019",4.87,4.87,4.69,4.72,6367058,74594116
121,"May 07, 2019",5.01,5.09,4.89,4.9,5989702,77450032
122,"May 06, 2019",4.97,5.03,4.73,5.01,7154964,79164029
123,"May 05, 2019",4.95,5.26,4.93,4.98,6838843,78609540
124,"May 04, 2019",4.87,5.15,4.79,4.96,13529628,78321968
125,"May 03, 2019",4.76,4.88,4.65,4.87,7127777,76933804
126,"May 02, 2019",4.78,4.83,4.7,4.76,6819935,75227933
127,"May 01, 2019",4.89,5.04,4.72,4.78,7101552,75521810
128,"Apr 30, 2019",4.49,4.9,4.48,4.88,6511873,76997418
129,"Apr 29, 2019",4.57,4.6,4.35,4.49,5594317,70919815
130,"Apr 28, 2019",4.66,4.71,4.48,4.57,5491868,72141586
131,"Apr 27, 2019",4.56,4.73,4.55,4.66,6128837,73597273
132,"Apr 26, 2019",4.41,4.78,4.34,4.57,7050244,72201994
133,"Apr 25, 2019",4.55,5.13,4.4,4.4,10120827,69559858
134,"Apr 24, 2019",4.86,4.86,4.3,4.55,9536279,71804640
135,"Apr 23, 2019",5.02,5.1,4.83,4.86,9663153,76812912
136,"Apr 22, 2019",5.17,5.17,4.98,5.03,8465102,79380348
137,"Apr 21, 2019",4.99,5.19,4.67,5.16,11890258,81555831
138,"Apr 20, 2019",4.79,5.03,4.68,4.99,11453820,78761074
139,"Apr 19, 2019",4.62,5.23,4.62,4.79,21679355,75579350
140,"Apr 18, 2019",4.37,4.67,4.36,4.61,9575196,72808368
141,"Apr 17, 2019",4.23,4.39,4.21,4.37,7680366,68981979
142,"Apr 16, 2019",4.0,4.23,3.99,4.23,7899997,66799844
143,"Apr 15, 2019",4.14,4.25,3.95,4.01,6719253,63271666
144,"Apr 14, 2019",3.97,4.17,3.92,4.14,6110107,65329339
145,"Apr 13, 2019",4.1,4.1,3.96,3.97,5734007,62713785
146,"Apr 12, 2019",3.99,4.12,3.81,4.09,8123915,64670144
147,"Apr 11, 2019",4.11,4.21,3.73,4.0,9650468,63155486
148,"Apr 10, 2019",3.94,4.21,3.93,4.11,5645587,64870774
149,"Apr 09, 2019",3.99,4.07,3.86,3.94,4972818,62233244
150,"Apr 08, 2019",3.87,4.07,3.83,3.99,8058308,62952763
151,"Apr 07, 2019",3.76,3.9,3.75,3.86,4051096,61034329
152,"Apr 06, 2019",3.78,3.87,3.73,3.77,3703010,59488809
153,"Apr 05, 2019",3.66,3.85,3.64,3.78,5645712,59709531
154,"Apr 04, 2019",3.62,3.72,3.59,3.66,3914941,57794072
155,"Apr 03, 2019",3.72,3.89,3.54,3.62,6039321,57145963
