,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,Unnamed: 10
42,43,DOGE Dogecoin,DOGE,"$623,565,845",$0.005459,114225699131,"$37,883,844",0.87%,0.21%,-2.06%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
43,44,RHOC RChain,RHOC,"$614,048,717",$1.71,"359,816,354 *","$1,410,295",0.47%,12.05%,11.76%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
44,45,XIN Mixin,XIN,"$612,564,879",$1471.40,"416,316 *","$1,955,735",-0.03%,0.75%,160.99%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
45,46,SNT Status,SNT,"$599,711,095",$0.172803,"3,470,483,788 *","$142,722,000",-0.53%,5.12%,13.97%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
46,47,DCR Decred,DCR,"$597,276,751",$83.58,7145743,"$2,638,383",-0.19%,-4.18%,28.72%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
47,48,LRC Loopring,LRC,"$577,729,446",$1.01,"572,074,043 *","$52,158,208",1.42%,19.59%,33.70%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
48,49,DGD DigixDAO,DGD,"$552,777,039",$276.39,"2,000,000 *","$6,441,374",-0.38%,-0.37%,-2.10%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
49,50,HC HyperCash,HC,"$531,685,612",$12.39,42924041,"$87,550,904",0.57%,-6.07%,55.86%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
50,51,AION Aion,AION,"$517,445,087",$3.89,133073439,"$8,301,739",0.10%,1.15%,-3.62%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
51,52,WTC Waltonchain,WTC,"$515,615,524",$16.56,"31,144,099 *","$7,399,533",-0.11%,0.67%,29.07%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
52,53,IOST IOST,IOST,"$499,985,200",$0.059522,"8,400,000,000 *","$120,627,448",0.12%,2.06%,19.74%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
53,54,GNT Golem,GNT,"$496,012,423",$0.594552,"834,262,000 *","$24,485,982",-0.18%,-1.45%,-0.89%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
54,55,BAT Basic Attenti...,BAT,"$465,132,922",$0.465133,"1,000,000,000 *","$7,606,110",1.29%,4.96%,7.97%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
55,56,ELF aelf,ELF,"$454,967,678",$1.82,"250,000,000 *","$194,350,384",2.40%,21.47%,54.88%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
56,57,REP Augur,REP,"$447,000,885",$40.64,"11,000,000 *","$3,249,772",-0.05%,-2.92%,0.54%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
57,58,DGB DigiByte,DGB,"$443,787,086",$0.043576,10184318954,"$6,780,093",-0.61%,-1.79%,26.49%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
58,59,KMD Komodo,KMD,"$436,072,969",$4.19,104053283,"$9,899,918",-0.59%,6.46%,6.67%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
59,60,ARDR Ardor,ARDR,"$410,072,580",$0.410483,"998,999,495 *","$7,589,623",0.14%,2.44%,4.78%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
60,61,ARK Ark,ARK,"$401,338,516",$3.93,"102,226,182 *","$4,026,875",0.53%,3.21%,15.95%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
61,62,KNC Kyber Network,KNC,"$371,177,115",$2.77,"134,132,697 *","$51,099,008",-0.68%,-0.23%,62.04%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
62,63,NAS Nebulas,NAS,"$357,822,934",$10.08,"35,500,000 *","$63,774,432",0.27%,12.18%,62.71%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
63,64,MITH Mithril,MITH,"$357,226,554",$1.17,"305,054,520 *","$210,600,032",1.37%,-2.94%,18.03%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
64,65,CTXC Cortex,CTXC,"$350,643,692",$2.34,149792458,"$90,216,992",1.99%,36.88%,71.74%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
65,66,KCS KuCoin Shares,KCS,"$324,475,968",$4.28,"75,730,576 *","$1,113,370",0.04%,-3.84%,1.83%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
66,67,QASH QASH,QASH,"$321,463,507",$0.918467,"350,000,000 *","$6,904,507",-0.39%,23.33%,18.27%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
67,68,GAS Gas,GAS,"$318,280,819",$31.42,"10,128,375 *","$8,376,693",-0.16%,13.55%,20.60%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
68,69,MONA MonaCoin,MONA,"$318,160,220",$5.38,59118875,"$4,754,189",0.70%,-1.65%,34.14%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
69,70,PIVX PIVX,PIVX,"$317,781,718",$5.67,"56,094,096 *","$5,099,239",-0.62%,2.56%,2.35%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
70,71,CENNZ Centrality,CENNZ,"$312,593,093",$0.454715,"687,448,275 *","$246,357",-0.46%,-2.70%,9.09%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
71,72,SUB Substratum,SUB,"$309,711,149",$0.808601,"383,021,000 *","$12,120,187",0.78%,2.70%,13.02%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
72,73,SYS Syscoin,SYS,"$299,032,757",$0.561414,532641746,"$13,094,190",-1.23%,-4.02%,11.62%,Add to Watchlist Remove from Watchlist Watchlist full! View Chart View Markets View Historical Data
